Id,H[kPa],Theta
1,0,0.465606725
1,0.4,0.460379278
1,0.7,0.451874734
1,1,0.439968374
1,5,0.398201617
1,10,0.375900814
1,20,0.352088093
1,40,0.32978729
1,100,0.290855381
1,1500,0.16916776
2,0,0.491393104
2,0.4,0.382472467
2,0.7,0.379305722
2,1,0.37244444
2,5,0.337258381
2,10,0.320193142
2,20,0.304183485
2,40,0.286766385
2,100,0.25421928
2,1500,0.155493743
3,0,0.471614922
3,0.4,0.458655112
3,0.7,0.455345631
3,1,0.455345631
3,5,0.408234198
3,10,0.387987962
3,20,0.368131077
3,40,0.350804971
3,1500,0.236380166
