Id,ρbSoil[g_cm-3],ρp_Fine[g_cm-3],ρ_Rock[g_cm-3],Rock%[g_g-3]
1,1.198266076,2.617724735,2.65,0
2,1.217597539,2.626659153,2.65,0
3,1.22622067,2.58275766,2.65,0
4,1.219324348,2.61383798,2.65,0
5,1.189846408,2.601901656,2.65,0
6,1.153879376,2.562578265,2.65,0
7,1.352193852,2.581896657,2.65,0
8,1.005680863,2.633950801,2.65,0
9,1.256628027,2.593381046,2.65,0
10,1.185935768,2.573323177,2.65,0
11,0.932042206,2.62509335,2.65,0
12,1.069859845,2.589929791,2.65,0
13,1.123890216,2.602200614,2.65,0
14,1.118707265,2.600189895,2.65,0
15,1.07019711,2.548003093,2.65,0
16,0.933838965,2.602066743,2.65,0
17,1.093771002,2.622890569,2.65,0
18,1.305286828,2.592992056,2.65,0
19,1.250707453,2.601703177,2.65,0
20,1.07406062,2.635926185,2.65,0
21,1.191770197,2.621259479,2.65,0
22,1.305613744,2.640068938,2.65,0
23,1.210128007,2.662646707,2.65,0
24,1.320444059,2.646462335,2.65,0
25,1.144929494,2.596002119,2.65,0
26,1.147278065,2.610937943,2.65,0
27,1.183584172,2.631509704,2.65,0
28,1.2370045,2.570089522,2.65,0
29,1.225630437,2.608843598,2.65,0
30,1.023987937,2.584317161,2.65,0
31,1.158849993,2.625404659,2.65,0
32,1.352733659,2.622912539,2.65,0
33,1.412015271,2.600283784,2.65,0
34,1.176403778,2.557867731,2.65,0
35,1.171390597,2.535307479,2.65,0
36,1.043424686,2.545510225,2.65,0
37,1.057465614,2.669932203,2.65,0
38,1.172432273,2.556822581,2.65,0
39,1.075737196,2.533408134,2.65,0
40,1.116990965,2.521305778,2.65,0
41,1.291363548,2.514173913,2.65,0
42,1.034833053,2.622047817,2.65,0
43,0.983174661,2.542741098,2.65,0
44,1.110988018,2.568306545,2.65,0
45,1.099411705,2.578172752,2.65,0
46,1.29277607,2.589262012,2.65,0
47,1.050351696,2.565661805,2.65,0
48,1.083056681,2.575262548,2.65,0
49,1.109720545,2.561258621,2.65,0
50,0.941017126,2.550607362,2.65,0
51,1.076288432,2.560782264,2.65,0
52,1.132371333,2.578798371,2.65,0
53,1.110463655,2.567495575,2.65,0
54,1.131191527,2.597330967,2.65,0
55,1.042594856,2.595883291,2.65,0
56,1.170177961,2.557327354,2.65,0
57,1.090715995,2.576766014,2.65,0
58,1.281706717,2.585123173,2.65,0
59,0.948407134,2.547740988,2.65,0
60,1.148069978,2.613879557,2.65,0
61,1.333833999,2.615364207,2.65,0
62,1.299142664,2.608209062,2.65,0
63,1.318101457,2.613791083,2.65,0
64,1.443416904,2.641830396,2.65,0
65,1.34680672,2.626711538,2.65,0
66,1.271571858,2.626878261,2.65,0
67,1.022533237,2.495216621,2.65,0
68,1.106153661,2.557790265,2.65,0
69,1.186192087,2.532680248,2.65,0
70,1.39273685,2.620611014,2.65,0
71,1.149533022,2.607978941,2.65,0
72,1.277132937,2.611211336,2.65,0
73,0.999677296,2.529752424,2.65,0
74,0.959606766,2.58096283,2.65,0
75,1.003478475,2.562621483,2.65,0
76,1.059634122,2.609137051,2.65,0
77,1.11624633,2.567319272,2.65,0
78,1.329305073,2.590609043,2.65,0
79,1.130629377,2.626826347,2.65,0
80,1.247663008,2.585695716,2.65,0
81,1.259521683,2.58906478,2.65,0
82,1.165766043,2.546323347,2.65,0
83,1.255283571,2.575583333,2.65,0
84,0.964536216,2.477838235,2.65,0
85,0.972469729,2.470375826,2.65,0
86,0.966115739,2.437111111,2.65,0
87,1.200545974,2.577979968,2.65,0
88,1.175818959,2.569449664,2.65,0
89,1.05946775,2.539404814,2.65,0
90,0.91275252,2.500783969,2.65,0
