Year,Month,Day,Pr,Pr_Ground
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,1.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,2.0,1.839126848,0.0
1.0,1.0,3.0,1.839126848,0.0
